"지역","면적(㎢)","면적비율"
경기도,168.8,0.067807504
인천광역시,703.9,0.282758898
충청남도,358.3,0.143930264
전라북도,117.7,0.047280469
전라남도,1036.9,0.416526071
경상남도,79.1,0.031774725
부산광역시,24.2,0.009721218
