"시각","지면온도","수면온도"
8,14,16.4
9,18,16.1
10,20,16.2
11,23,16.3
12,24,17
13,25,17.5
14,30,18
15,28,17.5
16,25.5,17.4
17,23,17.4
18,21,17
19,19.5,16.4
20,17.5,16
21,15.7,16.5
22,15.2,16.2
23,15.1,16.2
24,15.1,16.2
1,15.1,16
2,15,16
3,14,16
4,15.1,16
5,15.1,16
6,15.4,16
7,15.8,16
