"월","서울 기온","런던 기온"
1월,-2.5,3.8
2월,-0.3,4
3월,5.2,5.8
4월,12.1,8
5월,17.4,11.3
6월,21.9,14.4
7월,24.9,16.5
8월,25.4,16.2
9월,20.8,13.8
10월,14.4,6.7
11월,6.9,4.7
12월,0.2,4.9
