"구분","소금 0g","소금 10g","소금 20g","소금 30g","소금 40g"
2일,0,0,0,0,2
4일,0,0,0,2,7
6일,0,0,0,6,2
8일,0,1,2,13,23
10일,0,3,7,21,32
12일,0,8,14,27,41
