"시각","서울","대구"
01H,27.6,28.5
02H,27.5,28
03H,27.4,27.6
04H,27.3,27.2
05H,27.2,26.9
06H,27.3,26.6
07H,27.3,27.2
08H,27.5,28.7
09H,27.8,30
10H,28.7,31.6
11H,29.8,33.2
12H,30.3,34.5
13H,30.9,34.4
14H,31.1,35.4
15H,30.3,35.1
16H,29.5,35.8
17H,29.3,36.7
18H,29.1,35.7
19H,28.8,34.4
20H,28.5,33.3
21H,28.3,32.3
22H,27.5,32
23H,27.6,31.4
24H,26,30.3
