"구분","수출량 (만 톤)","비율(%)"
미국,3018.777,0.251
캐나다,1767.969,0.147
프랑스,1503.375,0.125
오스트레일리아,853.917,0.071
러시아,757.701,0.063
아르헨티나,685.539,0.057
독일,673.512,0.056
기타,2754.183,0.229
