"구분(단위)","수도권","비수도권"
면적(㎢),11749,88391
인구(명),24185787,25354580
지역생산(억원),4933741,5380831
대학및대학교(개교),120,224
제조업(사업체)(개),161780,158273
서비스업(사업체)(개),1366933,1573927
