"시도","인구수","남자","여자"
서울,990,486,504
부산,345,170,175
대구,247,123,124
인천,289,146,144
광주,150,75,75
대전,154,77,77
울산,117,61,56
세종,20,10,10
경기,1248,631,617
강원,152,77,75
충북,159,81,78
충남,211,108,103
전북,183,92,92
전남,180,90,90
경북,268,135,133
경남,333,170,164
제주,61,30,30
