"수달길이"
63.2
65.3
67.6
68.7
69.7
60.7
72.4
75.2
64.4
76.5
68.3
69.3
70.2
71.3
74.2
63.6
66.1
67.9
68.7
70.5
72.3
72.8
77.6
78.1
69.7
69.4
68.6
68.2
67.2
61.7
