"국가","이산화탄소배출량","순위","1인당배출량"
중국,7706.8,76,5.8
미국,5424.5,16,17.7
인도,1591.1,144,1.4
러시아,1556.7,35,11.1
일본,1098,54,8.6
독일,765.6,45,9.3
캐나다,541,20,16.2
이란,528.6,65,7
대한민국,528.1,36,10.9
영국,512,58,8.4
