"지역","인구"
서울,9631482
부산,3393191
대구,2431774
인천,2632035
광주,1466143
대전,1490158
울산,1071673
경기,11196053
강원,1463650 
충북,1495984 
충남,2000473 
전북,1766044 
전남,1728749 
경북,2575370 
경남,3119571 
제주,528411 
