"연도","건수","유출량(kl)"
1993,371,15460.3
1994,365,456.1
1995,299,15775.9
1996,337,1720.1
1997,379,3441.0
1998,470,1050.2
1999,463,386.9
2000,483,583.0
2001,455,668.1
2002,385,409.9
2003,297,1457.7
2004,343,1461.7
2005,355,410.3
2006,285,364.7
2007,345,14021.8
2008,265,435.9
