"연령","1960남","1960여","2020남","2020여"
10세 미만,11,10.7,6.8,6.6
10~19세,8.6,8.3,6.8,6.4
20세~29세,6.1,6.2,6.6,6.6
30세~39세,6.6,7,6.4,6.5
40~49세,6.2,6.3,5.7,6.7
50~59세,4.9,5,6.1,6.4
60~69세,3.5,3.9,5.6,6
70~79세,2,2.3,3.3,3.7
80세 이상,0.6,0.8,1.5,2.3
