"년도 ","한국 ","일본 ","중국 ","미국"
1985,64.9,60.6,22.9,74.5
1990,73.8,63.1,26.4,75.3
1995,78.2,64.6,30.9,77.3
2000,79.6,65.2,35.8,79.1
2005,81.3,66,42.5,80.8
2009,82.7,66.6,46.1,82
2010,83,66.8,47,82.3
2015,84.4,68,51.1,83.6
