"구분","남한","북한"
갈탄/니켈
/마그네사이트,0,1
금,0.002,0.988
동,0.019,0.981
아연,0.027,0.973
석회석,0.091,0.909
무연탄,0.233,0.767
은,0.24,0.76
몰리브덴,0.289,0.711
중석,0.34,0.66
망간,0.37,0.63
활석,0.921,0.079
고령도,0.982,0.018
