"년도","출생아수(만명)","합계출산율(명)"
1970,101,4.53
1975,88,3.47
1980,87,2.83
1985,68,1.67
1990,66,1.6
1995,72,1.65
2000,64,1.47
2005,44,1.06
2009,44,1.15
