"연도","0~14세","15~64세","65세 이상"
1970,0.43 ,0.54 ,0.03 
1980,0.34 ,0.62 ,0.04 
1990,0.26 ,0.69 ,0.05 
2000,0.21 ,0.72 ,0.08 
2005,0.19 ,0.72 ,0.10 
2010,0.16 ,0.73 ,0.13 
2020,0.12 ,0.72 ,0.19 
2030,0.11 ,0.64 ,0.30 
2050,0.09 ,0.53 ,0.53 
